household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010600402167,010106088800402167,01010600402,010106088800402,1,4.5,53.3,23.8,173.1,149.2,50-100,244,233,797,247,600,33,30,322,1334,13,3,1,1,1,1,1,1,2,1014,789,18,1570,834,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
,010107010100116012,,010107010100116,1,0.6,1.3,76.9,176.9,146.8,2000-5000,204,194,907,297,692,38,30,322,1899,14,8,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116035,,010107010100116,1,0.5,1.2,76.9,176.9,146.7,2000-5000,204,194,907,297,692,38,30,322,1899,14,8,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116058,,010107010100116,1,0.4,1.2,76.8,176.9,146.7,2000-5000,204,194,907,297,692,40,110,322,1899,16,8,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116081,,010107010100116,1,0.4,1.1,76.9,177,146.6,2000-5000,204,194,907,297,692,38,30,322,1899,16,8,1,1,2,1,1,1,2,953,742,18,1571,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116104,,010107010100116,1,0.5,1,77,177.1,146.5,2000-5000,204,194,907,297,692,25,110,322,1904,13,3,1,1,2,1,1,1,2,952,741,18,1571,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116127,,010107010100116,1,0.4,1.1,76.8,177,146.6,2000-5000,204,194,907,297,692,40,110,322,1899,16,8,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116150,,010107010100116,1,0.4,1.2,76.8,176.9,146.6,2000-5000,204,194,907,297,692,40,110,322,1899,16,8,1,1,2,1,1,1,2,954,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116173,,010107010100116,1,0.4,1.2,76.8,177,146.6,2000-5000,204,194,907,297,692,40,110,322,1901,13,8,1,1,2,1,1,1,2,954,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116196,,010107010100116,1,0.4,1.1,76.8,177,146.6,2000-5000,204,194,907,297,692,28,110,322,1902,16,3,1,1,2,1,1,1,2,953,742,18,1571,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116219,,010107010100116,1,0.3,1,76.8,177.1,146.5,2000-5000,204,194,907,297,692,28,110,322,1903,15,3,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116242,,010107010100116,1,0.2,1,76.7,177.1,146.5,2000-5000,204,194,907,297,692,28,110,322,1902,14,3,1,1,2,1,1,1,2,953,742,18,1572,805,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116265,,010107010100116,1,0.2,1.1,76.7,177,146.5,2000-5000,204,194,907,297,692,28,110,322,1903,15,3,1,1,2,1,1,1,2,954,742,18,1572,805,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116288,,010107010100116,1,0.3,1.1,76.8,177,146.6,2000-5000,204,194,907,297,692,28,110,322,1903,15,3,1,1,2,1,1,1,2,953,742,18,1572,804,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116311,,010107010100116,1,0.3,1.2,76.7,176.9,146.6,2000-5000,204,194,907,297,692,40,110,322,1901,13,8,1,1,2,1,1,1,2,954,743,18,1572,805,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
,010107010100116334,,010107010100116,1,0.2,1.1,76.7,177,146.5,2000-5000,203,193,910,298,694,28,110,322,1906,13,3,1,1,2,1,1,1,2,954,743,18,1572,805,20,47,0.4355,178,257,45,0.4397,185,260,14.1005955542,38.2661417342
01020100207002,010201088800207002,01020100207,010201088800207,1,18.4,27.7,99.8,204.3,134.4,50-100,219,214,749,236,553,9,110,322,1669,11,8,1,1,5,1,1,1,4,789,605,18,1459,749,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
01020100207012,010201088800207012,01020100207,010201088800207,1,17.8,27.1,99.4,204.7,133.8,50-100,219,214,749,236,553,14,110,322,1654,11,13,1,1,5,1,1,1,4,790,606,18,1462,750,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
01020100207017,010201088800207017,01020100207,010201088800207,1,18,26.8,98.9,205.2,133.5,50-100,214,209,750,239,558,23,110,322,1753,11,13,1,1,5,1,1,1,4,788,604,18,1459,749,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
01020100207027,010201088800207027,01020100207,010201088800207,1,18.1,26.8,98.8,205.3,133.5,50-100,214,209,750,239,558,36,30,322,1744,13,8,1,1,5,1,1,1,4,787,604,18,1458,749,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
01020100207047,010201088800207047,01020100207,010201088800207,1,17.2,25.5,97.8,206.2,132.1,50-100,211,206,752,241,560,34,30,322,1763,12,8,1,1,5,1,1,1,4,788,604,18,1462,751,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
01020100207062,010201088800207062,01020100207,010201088800207,1,17,25.4,98,206.1,132.1,50-100,211,206,752,241,560,36,30,322,1764,12,8,1,1,5,1,1,1,4,789,605,18,1464,751,24,36,0.3571,183,256,35,0.364,185,255,14.2834679193,38.5730157222
